,stop_name,next_stop_name,Unnamed: 0,trip_id,stop_id,stop_sequence,route_short_name,next_stop_id,totalTripTime,osm_distance,OriginLat,OriginLon,DestLat,DestLon
143,Berlin-Wannsee,Berlin Hbf,19797,12722,118054,21,IC 56,552542.0,349.0,22.577680678465697,52.42135,13.180446,52.52488,13.369627
144,Berlin-Wannsee,Berlin Zoologischer Garten,21337,96875,118054,18,IC 56,665317.0,378.0,14.99757503062241,52.42135,13.180446,52.507652,13.332804
145,Berlin-Wannsee,Potsdam Hbf,27227,89188,427661,3,ICE 43,303875.0,534.0,9.580766179785234,52.421402,13.180358,52.391666,13.066749
146,Bernau(b Berlin),Berlin Gesundbrunnen,33739,123512,481464,10,ICE 28,604391.0,207.0,20.49774167342604,52.675426,13.591859,52.548885,13.39039
147,Bernau(b Berlin),Eberswalde Hbf,43656,229933,246848,2,ICE 21,551066.0,197.0,23.317435517186063,52.67533,13.592016,52.83376,13.796866
148,Biberach(Riß),Ravensburg,24372,696151,463120,12,ICE 32,573482.0,426.0,47.3121557776707,48.101936,9.792939,47.78441,9.605964
149,Biberach(Riß),Ulm Hbf,24335,486486,324821,3,ICE 32,520479.0,439.0,37.32619619462959,48.101994,9.793155,48.399345,9.982816
150,Bielefeld Hbf,Bad Oeynhausen,25464,1171323,371277,11,ICE 43,237515.0,273.0,30.417028212234808,52.029522,8.533106,52.205257,8.795962
151,Bielefeld Hbf,Dortmund Hbf,10326,45076,597977,6,ICE 10,387211.0,256.0,98.34963080494964,52.02962,8.532917,51.517883,7.458721
152,Bielefeld Hbf,Gütersloh Hbf,9714,23485,597977,7,ICE 10,634354.0,298.0,17.779144717628583,52.02962,8.532917,51.90686,8.38483
153,Bielefeld Hbf,Hamm(Westf)Hbf,10417,491824,597977,5,ICE 10,185544.0,268.0,67.70854973540479,52.02962,8.532917,51.678474,7.807276
154,Bielefeld Hbf,Hannover Hbf,10095,37945,371277,4,ICE 10,286285.0,259.0,108.7997899741074,52.029522,8.533106,52.37734,9.741547
155,Bielefeld Hbf,Herford,31099,76081,371277,9,IC 55,157832.0,233.0,13.667711175999152,52.029522,8.533106,52.119358,8.663667
156,Bielefeld Hbf,Minden(Westf),26106,155663,371277,18,ICE 43,503183.0,513.0,44.832693405272096,52.029522,8.533106,52.290154,8.934859
157,Bingen(Rhein) Hbf,Koblenz Hbf,1193,656102,303765,3,ICE 39,333033.0,422.0,60.69144599097663,49.969147,7.882717,50.35093,7.588345
158,Bingen(Rhein) Hbf,Mainz Hbf,1855,99424,303765,9,ICE 39,149884.0,495.0,31.559804317282904,49.969147,7.882717,50.001118,8.25872
159,Bitterfeld,Berlin Südkreuz,22074,49178,304607,9,ICE 18,622546.0,284.0,129.7276430897408,51.62286,12.31685,52.475407,13.365754
160,Bitterfeld,Berlin Zoologischer Garten,34257,5768,304607,6,ICE 28,535633.0,286.0,139.53573172340606,51.62286,12.31685,52.50762,13.332927
161,Bitterfeld,Dessau Hbf,20744,4822,304607,4,IC 56,210810.0,372.0,25.88425798838484,51.62286,12.31685,51.839867,12.234945
162,Bitterfeld,Halle(Saale)Hbf,22001,38055,304607,8,ICE 18,199582.0,463.0,29.65231906565077,51.62286,12.31685,51.47751,11.987085
163,Bitterfeld,Hauptbahnhof,24154,929419,304607,7,ICE 11,356159.0,637.0,121.64478692832056,51.62286,12.31685,50.97211,11.037261
164,Bitterfeld,Leipzig Hbf,30352,43799,304607,10,IC 55,233006.0,388.0,34.294199789060066,51.62286,12.31685,51.34547,12.382064
165,Bitterfeld,Lutherstadt Wittenberg Hbf,38927,11735,304607,15,IC 17,481287.0,426.0,38.1787902842579,51.62286,12.31685,51.86781,12.662285
166,Bochum Hbf,Dortmund Hbf,15736,13061,37199,14,ICE 41,390698.0,348.0,18.79385412870331,51.478394,7.222859,51.517723,7.458775
167,Bochum Hbf,Essen Hbf,12127,5903,156853,1,ICE 47,354742.0,309.0,15.681075773250006,51.47853,7.222715,51.45159,7.013956
